Scenario,,Registry unavailable (not on api-int),,,,
,,"Given an OVE cluster with 3 control plane nodes
And all the IRI registries are accessible
And api-int does not resolve exclusively to master-0

When the registry on master-0 becomes unreachable,

Then only MachineConfigNode master-0 should be degraded
And the InternalReleaseImage resource should be degraded
And the cluster should remain able to serve (degraded) release images via api-int",,,,
,,,,,,
,,MasterConfigNode ,,,,InternalReleaseImage
resource,,master-0,master-1,master-2,,cluster
"status 
condition",Type,InternalReleaseImageDegraded,InternalReleaseImageDegraded,InternalReleaseImageDegraded,,Degraded
,Status,True,False,False,,True
,Reason,RegistryUnreachable,AllReleasesAvailable,AllReleasesAvailable,,SomeRegistriesUnavailable
,Message,registry query...connection refused,All the release images are available,All the release images are available,,The following nodes are degraded: [master-0]. See the related MachineConfigNode resource status for more details.
"releases[0]
conditions",name,ocp-release-bundle-4.22,ocp-release-bundle-4.22,ocp-release-bundle-4.22,,ocp-release-bundle-4.22
,image,localhost:22625/openshift/release-images@<digest>,localhost:22625/openshift/release-images@<digest>,localhost:22625/openshift/release-images@<digest>,,api-int.<cluster-name>.<base-domain>:22625/openshift/release-images@<digest>
,Type,Available,Available,Available,,Available
,Status,False,True,True,,True
,Reason,RegistryUnreachable,ReleaseImageAvailable,ReleaseImageAvailable,,ReleaseImageAvailable
,Message,Release bundle is unavailable: failed to reach the registry,The specified release image is available,The specified release image is available,,The specified release image is available
,Type,Degraded,Degraded,Degraded,,Degraded
,Status,True,False,False,,True
,Reason,RegistryUnreachable,ReleaseImageAvailable,ReleaseImageAvailable,,SomeRegistriesUnavailable
,Message,registry query...connection refused,ReleaseImageAvailable,ReleaseImageAvailable,,The following nodes are degraded: [master-0]. See the related MachineConfigNode resource status for more details.
